Experiment;Time (years);ambient CO2;increased CO2
;;;
ArizonaFACE - wheat - high N;0;1344;1228
;0.5;1363;1305
;1;1254;1264
;1.5;1258;1400
;;;
Biosphere 2;0;5950;6362
;1;5254;4735
;2;6084;4785
;3;5470;4064
;4;5335;4220
;;;
China FACE - low N;3.66;1937;2192
;4;1937;2123
;;;
China FACE - high N;3.66;1926;2135
;4;1937;2105
;;;
China OTC - low N;0.33;1103;1168
;0.67;1036;1097
;1;1936;2385
;1.33;2319;2218
;1.66;2060;2051
;2;2431;2301
;2.33;2263;2361
;2.66;2116;2158
;3;3625;3315
;3.33;3253;3279
;3.66;3287;3410
;;;
China OTC - high N;0.33;1201;1198
;0.67;922;1409
;1;1930;2373
;1.33;1951;2514
;1.66;1587;3054
;2;2015;3030
;2.33;2273;2725
;2.66;2187;2702
;3;3602;3947
;3.33;3581;4170
;3.66;3645;4158
;;;
FACTS I;0;1977;2142
;3.17;1902;2208
;6;2407;2734
;9;2164;2096
;;;
FACTS II - Aspen;4;3575;3562
;6;3625;4435
;7;3235;3243
;8;3741;3506
;9;4243;3841
;10;4374;3760
;11;5119;3267
;;;
FACTS II - Aspen (+O3);4;3193;3199
;6;3081;3433
;7;3418;2804
;8;3886;2890
;9;4073;3444
;10;4382;3268
;11;4783;3141
;;;
FACTS II - Aspen/Birch;4;3256;3817
;6;3347;3274
;7;3408;3457
;8;3653;3436
;9;4433;4196
;10;4125;3832
;11;3484;3946
;;;
FACTS II - Aspen/Birch (+O3);4;3305;3121
;6;4105;3798
;7;2943;3255
;8;3578;3351
;9;4083;4064
;10;3909;4290
;11;4113;3849
;;;
FACTS II - Aspen/Mapel;4;2908;3541
;6;3327;3186
;7;3135;3270
;8;4206;3960
;9;4023;3850
;10;4014;4450
;11;3948;4675
;;;
FACTS II - Aspen/Mapel (+O3);4;3449;3334
;6;3512;2961
;7;3321;3240
;8;3564;3376
;9;4115;3739
;10;3982;3737
;11;4093;3723
;;;
GiFACE;0;3420;3528
;9.08;3150;3096
;;;
Hohenheim;2;1725;1767
;2.5;1707;1641
;3;1805;1744
;3.5;1567;1588
;4;1680;1717
;4.5;1721;1763
;;;
Jasper Ridge - sandstone;0;2646;2646
;1.41;2646;2354
;2.41;2252;2339
;3.41;2315;2315
;4.41;2497;2486
;5.41;2612;2750
;;;
JRGCE - Control;2;2384;2344
;8;2428;2173
;;;
JRGCE - Burn;2;2296;2497
;8;2544;2269
;;;
JRGCE - N;2;2248;2381
;8;2552;2329
;;;
JRGCE - N x Burn;2;2359;2425
;8;2529;2226
;;;
JRGCE - Water;2;2292;2268
;8;2311;2085
;;;
JRGCE - Water x Burn;2;2394;2563
;8;2396;2301
;;;
JRGCE - Water x N;2;2193;2264
;8;2626;2442
;;;
JRGCE - Water x N x Burn;2;2251;2569
;8;2232;2385
;;;
JRGCE - Heat;2;2298;2295
;8;2385;2438
;;;
JRGCE - Heat x N;2;2288;2454
;8;2283;2449
;;;
JRGCE - Heat x Water;2;2327;2310
;8;2074;2414
;;;
JRGCE - Heat x Water x N;2;2393;2453
;8;2110;2407
;;;
Merritt Island;0.62;1209;1335
;2.09;1131;1220
;2.17;1264;1292
;2.31;1356;1281
;2.55;1734;1567
;3.36;1782;1712
;4.87;2191;1941
;6;2099;1741
;6;1999;1628
;11;1512;1411
;;;
NewZealandFACE;0;2685;2465
;1;2650;2490
;2;2655;2525
;3;2675;2565
;4;2515;2445
;5;2585;2490
;6;2519;2510
;7;2599;2534
;8;2659;2659
;9;2657;2722
;10;2722;2822
;;;
New Zealand Greenhouse;0;2112.2;2122.4
;0.25;2122.4;2142.9
;0.5;1969.4;1979.6
;0.75;1969.4;2000
;;;
New Zealand OTC - P. radiata;0;100;100
;6;412;530
;;;
New Zealand OTC - N. fusca;0;100;100
;6;2403;3402
;;;
ORNL FACE;0;2672;2791
;2.42;2785;2866
;4.33;2730;2991
;11;3370;3850
;;;
Placerville - low N;0;8400;8000
;1.75;7600;7600
;5.5;7400;7600
;;;
Placerville - medium N;0;7800;7900
;1.75;7700;7800
;5.5;7400;8300
;;;
Placerville - high N;0;8100;7500
;1.75;7500;8500
;5.5;7400;8100
;;;
POPFACE - alba;0;1320;1128
;1;1365;1195
;2;1524;1295
;4;1629;1377
;5;1647;1480
;;;
POPFACE - euramericana;0;1252;1165
;1;1429;1213
;2;1405;1084
;4;1635;1431
;5;1686;1370
;;;
POPFACE - nigra;0;1379;1149
;1;1458;1169
;2;1534;1112
;4;1518;1246
;5;1509;1344
;;;
Shortgrass prairie;0;617;645
;1;527;542
;2;488;522
;3;618;616
;4;603;593
;;;
SoyFACE;0;4803;4142
;5;4671;4100
;6;4437;3836
;;;
SwissFACE- grass - low N;2;2878;2862
;3;2796;3584
;4;2855;2790
;5;3305;3368
;6;2970;2946
;7;2606;2759
;8;3733;3834
;9;3350;3498
;10;3293;3198
;;;
SwissFACE- grass - high N;2;3528;3223
;3;3052;3892
;4;3075;3091
;5;3494;3606
;6;2986;3045
;7;2920;2588
;8;3434;3114
;9;3302;3439
;10;3258;3332
;;;
SwissFACE- clover - low N;2;2822;2872
;3;3048;3500
;4;2862;2931
;5;3034;3291
;6;2758;2911
;7;2544;2987
;8;3443;3145
;9;3053;3591
;10;2999;3076
;;;
SwissFACE- clover - high N;2;2916;3496
;3;3256;3688
;4;2725;2996
;5;3233;3406
;6;2759;3153
;7;2630;2434
;8;3528;3572
;9;3209;3456
;10;2993;3236
;;;
Swiss Greenhouse;0;1280;1280
;0.25;1205;980
;;;
Tallgrass Prairie;2.5;2985;2860
;8;2181;2372
;;;
UMBS - aspen;0;297;297
;0.5;242;290
;;;
WSL - loam, low N;0;1290;1290
;3.75;1317;1471
;;;
WSL - loam, high N;0;1290;1290
;3.75;1482;1547
;;;
WSL - sand, low N;0;1310;1310
;3.75;1167;1214
;;;
WSL - sand, high N;0;1310;1310
;3.75;1120;1183
